"MD.dt" "day" "AIh" "pAIh" "per" "AIne"
2001-03-01 "03-01" 350.750304 354.6381312 89 935.05192128
2001-03-15 "03-15" 448.896384 449.1116928 94 1028.33673984
2001-03-29 "03-29" 497.22768 497.22768 96 1070.95233024
2001-04-12 "04-12" 528.921792 527.70077856 98 1116.1453536
2001-04-26 "04-26" 551.492928 552.4137792 96 1070.95233024
2001-05-10 "05-10" 611.31024 612.9424224 96 1070.95233024
2001-05-24 "05-24" 682.740576 684.287568 96 1070.95233024
2001-06-07 "06-07" 747.041184 749.3979168 96 1070.95233024
2001-06-21 "06-21" 794.330496 788.57179776 93 989.07550848
2001-07-05 "07-05" 830.313504 829.9070784 93 989.07550848
2001-07-19 "07-19" 861.130656 862.8005952 91 948.58336224
2001-08-02 "08-02" 878.723424 877.29573312 90 938.4041376
2001-08-16 "08-16" 893.059776 893.86654464 89 935.05192128
2001-08-30 "08-30" 905.279328 908.00072064 89 935.05192128
2001-09-13 "09-13" 915.599808 918.9687168 89 935.05192128
2001-09-27 "09-27" 928.660896 930.41046144 89 935.05192128
2002-03-01 "03-01" 114.42816 115.6652352 9 472.38004224
2002-03-15 "03-15" 125.480448 126.271872 9 472.38004224
2002-03-29 "03-29" 147.235104 146.3317056 13 481.45935168
2002-04-12 "04-12" 174.115872 174.33553536 14 483.80661504
2002-04-26 "04-26" 199.969344 199.8900288 16 497.196576
2002-05-10 "05-10" 230.684544 230.6044512 16 497.196576
2002-05-24 "05-24" 269.475552 269.96810112 14 483.80661504
2002-06-07 "06-07" 307.304928 307.107936 16 497.196576
2002-06-21 "06-21" 343.21536 343.443456 9 472.38004224
2002-07-05 "07-05" 365.855616 368.30111616 9 472.38004224
2002-07-19 "07-19" 385.459776 388.68412032 9 472.38004224
2002-08-02 "08-02" 397.713888 400.83382656 9 472.38004224
2002-08-16 "08-16" 407.649024 410.53319424 9 472.38004224
2002-08-30 "08-30" 423.525024 425.50541568 9 472.38004224
2002-09-13 "09-13" 443.712384 444.87577728 9 472.38004224
2002-09-27 "09-27" 463.40208 462.89562912 8 467.35394688
2003-03-01 "03-01" 303.995808 303.995808 76 808.98559488
2003-03-15 "03-15" 341.217792 342.3114432 79 821.982168
2003-03-29 "03-29" 376.334208 376.334208 81 830.91632544
2003-04-12 "04-12" 416.047968 415.94675904 83 838.99904544
2003-04-26 "04-26" 455.195808 454.674816 83 838.99904544
2003-05-10 "05-10" 525.400128 524.83451904 83 838.99904544
2003-05-24 "05-24" 587.695392 587.395152 83 838.99904544
2003-06-07 "06-07" 634.749696 636.5041344 81 830.91632544
2003-06-21 "06-21" 680.398272 680.9085504 81 830.91632544
2003-07-05 "07-05" 712.546848 713.8172736 81 830.91632544
2003-07-19 "07-19" 733.32 730.54553184 80 826.1419392
2003-08-02 "08-02" 750.505824 750.6805248 78 818.46936
2003-08-16 "08-16" 761.889024 762.56665056 78 818.46936
2003-08-30 "08-30" 776.637504 777.35968704 78 818.46936
2003-09-13 "09-13" 814.930848 814.89176064 83 838.99904544
2003-09-27 "09-27" 832.67568 832.46845824 83 838.99904544
2004-03-01 "03-01" 435.627072 435.627072 96 1070.95233024
2004-03-15 "03-15" 449.972928 449.972928 96 1070.95233024
2004-03-29 "03-29" 472.129344 470.3757696 93 989.07550848
2004-04-12 "04-12" 513.784512 515.93232096 94 1028.33673984
2004-04-26 "04-26" 537.176448 535.20279552 93 989.07550848
2004-05-10 "05-10" 574.55136 574.733664 91 948.58336224
2004-05-24 "05-24" 614.435328 613.72626048 88 934.05384576
2004-06-07 "06-07" 668.5416 666.95133888 88 934.05384576
2004-06-21 "06-21" 717.13728 719.6896224 86 892.28587392
2004-07-05 "07-05" 754.624512 759.3261408 86 892.28587392
2004-07-19 "07-19" 779.95008 773.18786304 85 857.5682112
2004-08-02 "08-02" 798.424992 791.54229888 85 857.5682112
2004-08-16 "08-16" 810.636768 804.73281408 85 857.5682112
2004-08-30 "08-30" 820.869984 817.96321152 85 857.5682112
2004-09-13 "09-13" 835.216704 830.34809856 85 857.5682112
2004-09-27 "09-27" 842.990976 840.51530496 85 857.5682112
2005-03-01 "03-01" 97.353792 98.53056 4 442.13503104
2005-03-15 "03-15" 102.4488 101.0332224 3 422.13443328
2005-03-29 "03-29" 112.5144 111.0364416 3 422.13443328
2005-04-12 "04-12" 124.460928 124.460928 1 362.73026016
2005-04-26 "04-26" 139.412448 139.412448 1 362.73026016
2005-05-10 "05-10" 165.034368 165.034368 1 362.73026016
2005-05-24 "05-24" 198.303552 198.303552 1 362.73026016
2005-06-07 "06-07" 225.99216 225.99216 1 362.73026016
2005-06-21 "06-21" 252.065952 252.065952 1 362.73026016
2005-07-05 "07-05" 276.361632 276.361632 1 362.73026016
2005-07-19 "07-19" 287.877024 287.877024 1 362.73026016
2005-08-02 "08-02" 298.74528 298.74528 1 362.73026016
2005-08-16 "08-16" 308.250144 308.250144 1 362.73026016
2005-08-30 "08-30" 317.842272 317.842272 1 362.73026016
2005-09-13 "09-13" 323.631936 323.631936 1 362.73026016
2005-09-27 "09-27" 329.056992 329.056992 1 362.73026016
2006-03-01 "03-01" 147.474432 147.474432 26 538.43182272
2006-03-15 "03-15" 163.550016 163.5812928 24 537.43644288
2006-03-29 "03-29" 189.176256 190.631232 29 545.606496
2006-04-12 "04-12" 216.096768 214.54619904 29 545.606496
2006-04-26 "04-26" 236.246112 236.41557696 27 539.89995744
2006-05-10 "05-10" 257.014944 254.540016 26 538.43182272
2006-05-24 "05-24" 284.302656 283.4555904 21 535.16655072
2006-06-07 "06-07" 300.945024 300.4327584 11 479.37439872
2006-06-21 "06-21" 318.416832 319.3465824 4 442.13503104
2006-07-05 "07-05" 330.392736 332.40748896 4 442.13503104
2006-07-19 "07-19" 342.434304 344.61650016 4 442.13503104
2006-08-02 "08-02" 359.565696 360.40819968 4 442.13503104
2006-08-16 "08-16" 370.494432 371.72881152 4 442.13503104
2006-08-30 "08-30" 382.604256 383.67589248 4 442.13503104
2006-09-13 "09-13" 395.951328 396.34041312 4 442.13503104
2006-09-27 "09-27" 469.638432 469.0147968 11 479.37439872
2007-03-01 "03-01" 272.321568 272.6212032 64 729.14909184
2007-03-15 "03-15" 283.377312 283.377312 61 703.58888736
2007-03-29 "03-29" 293.26752 292.9008384 58 672.89044032
2007-04-12 "04-12" 332.223552 332.02303488 65 735.5411712
2007-04-26 "04-26" 390.485664 391.23374976 73 783.2541888
2007-05-10 "05-10" 437.001696 436.76122752 75 802.809792
2007-05-24 "05-24" 483.439968 483.98387328 73 783.2541888
2007-06-07 "06-07" 518.762016 519.1227792 66 741.76414848
2007-06-21 "06-21" 556.875648 556.94789568 60 692.1049536
2007-07-05 "07-05" 581.196384 581.31127872 60 692.1049536
2007-07-19 "07-19" 595.34352 595.50554592 60 692.1049536
2007-08-02 "08-02" 606.937536 607.83815232 55 653.5376352
2007-08-16 "08-16" 618.275808 619.12266624 55 653.5376352
2007-08-30 "08-30" 626.614272 627.46071552 55 653.5376352
2007-09-13 "09-13" 632.429856 631.973664 54 648.41786496
2007-09-27 "09-27" 638.617824 638.69509152 50 641.293632
2008-03-01 "03-01" 86.125248 86.125248 1 362.73026016
2008-03-15 "03-15" 95.370912 95.370912 1 362.73026016
2008-03-29 "03-29" 105.124608 105.124608 1 362.73026016
2008-04-12 "04-12" 137.693952 139.79624544 4 442.13503104
2008-04-26 "04-26" 201.597984 201.673584 19 531.51602112
2008-05-10 "05-10" 247.115232 246.99924 24 537.43644288
2008-05-24 "05-24" 309.188448 310.45102848 27 539.89995744
2008-06-07 "06-07" 411.632064 411.46026624 42 608.75095104
2008-06-21 "06-21" 464.138208 463.8669552 44 619.37122176
2008-07-05 "07-05" 516.41712 515.96813376 47 628.1318448
2008-07-19 "07-19" 553.581216 551.97873792 47 628.1318448
2008-08-02 "08-02" 576.389088 576.54675936 48 635.3983872
2008-08-16 "08-16" 589.26528 587.13247872 47 628.1318448
2008-08-30 "08-30" 598.846176 597.27744576 47 628.1318448
2008-09-13 "09-13" 607.078368 605.87780544 47 628.1318448
2008-09-27 "09-27" 617.46192 617.42184768 47 628.1318448
2009-03-01 "03-01" 183.520512 183.986208 39 585.78574464
2009-03-15 "03-15" 203.017536 206.049312 39 585.78574464
2009-03-29 "03-29" 224.45856 227.2105728 39 585.78574464
2009-04-12 "04-12" 258.764544 258.73375104 39 585.78574464
2009-04-26 "04-26" 302.515776 303.11131392 45 620.5839408
2009-05-10 "05-10" 345.834144 345.9396384 50 641.293632
2009-05-24 "05-24" 419.684544 419.89257792 55 653.5376352
2009-06-07 "06-07" 470.602656 468.79682688 57 665.25863328
