%% --------- Crop rotation time-series for AquaCropOS --------- %%
%% PlantDate	HarvestDate	Crop %%
15/04/1984	15/10/1984	Maize
15/04/1985	15/10/1985	Maize
15/04/1986	15/10/1986	Maize
15/04/1987	15/10/1987	Maize
15/04/1988	15/10/1988	Maize
15/04/1989	15/10/1989	Maize
15/04/1990	15/10/1990	Maize
15/04/1991	15/10/1991	Maize
15/04/1992	15/10/1992	Maize
15/04/1993	15/10/1993	Maize
15/04/1994	15/10/1994	Maize
15/04/1995	15/10/1995	Maize
15/04/1996	15/10/1996	Maize
15/04/1997	15/10/1997	Maize
15/04/1998	15/10/1998	Maize
15/04/1999	15/10/1999	Maize
15/04/2000	15/10/2000	Maize
15/04/2001	15/10/2001	Maize
15/04/2002	15/10/2002	Maize
15/04/2003	15/10/2003	Maize
15/04/2004	15/10/2004	Maize
15/04/2005	15/10/2005	Maize
15/04/2006	15/10/2006	Maize
15/04/2007	15/10/2007	Maize
15/04/2008	15/10/2008	Maize
15/04/2009	15/10/2009	Maize
15/04/2010	15/10/2010	Maize
15/04/2011	15/10/2011	Maize
15/04/2012	15/10/2012	Maize
15/04/2013	15/10/2013	Maize
15/04/2014	15/10/2014	Maize
