%% --------- Crop rotation time-series for AquaCropOS --------- %%
%% PlantDate	HarvestDate	Crop %%
01/02/2000	05/06/2001	Barley
01/02/2001	05/06/2002	Barley
01/02/2002	05/06/2003	Barley
01/02/2003	05/06/2004	Barley
01/02/2004	05/06/2005	Barley
01/02/2005	05/06/2006	Barley
01/02/2006	05/06/2007	Barley
01/02/2007	05/06/2008	Barley
01/02/2008	05/06/2009	Barley
01/02/2009	05/06/2010	Barley
01/02/2010	05/06/2011	Barley
01/02/2011	05/06/2012	Barley
01/02/2012	05/06/2013	Barley
01/02/2013	05/06/2014	Barley
01/02/2014	05/06/2015	Barley
