"dates" "ALF" "PCH" "LCM" "SCM"
"1984-03-01" 2.4 4.7 0 0
"1984-04-01" 33.1 43.1 30 0
"1984-05-01" 60.2 74.4 15 14.87
"1984-06-01" 83.9 110.1 105 45
"1984-07-01" 179.3 219.5 180 135
"1984-08-01" 174.4 211.3 90 75
"1984-09-01" 138.4 0 60 60
"1984-09-30" 0 0 0 0
"1985-03-01" 9.1 22.3 0 0
"1985-04-01" 69.3 89.5 60 0
"1985-05-01" 55.2 76.3 105 43.98
"1985-06-01" 133.9 166.8 150 150
"1985-07-01" 147.4 182.9 135 105
"1985-08-01" 173 210.2 135 120
"1985-09-01" 174.7 0 60 60
"1985-09-30" 0 0 0 0
"1986-03-01" 8.3 15.9 0 0
"1986-04-01" 59 80.3 45 0
"1986-05-01" 85 111 165 29.02
"1986-06-01" 131.3 166.8 165 195
"1986-07-01" 168 209.2 165 135
"1986-08-01" 161 198.7 105 90
"1986-09-01" 92.2 0 0 15
"1986-09-30" 0 0 0 0
"1987-03-01" 16.7 30.4 0 0
"1987-04-01" 65.6 88.1 75 0
"1987-05-01" 130.1 159.5 15 29.41
"1987-06-01" 112.6 140.8 135 30
"1987-07-01" 173.9 214.3 135 105
"1987-08-01" 149.7 182.9 105 105
"1987-09-01" 141.1 0 45 15
"1987-09-30" 0 0 0 0
"1988-03-01" 28.3 47.9 0 0
"1988-04-01" 40.3 58 15 0
"1988-05-01" 59 81.4 45 44.26
"1988-06-01" 98.2 131.3 90 15
"1988-07-01" 150.8 185.4 165 135
"1988-08-01" 175.1 210.8 120 120
"1988-09-01" 175.5 0 75 60
"1988-09-30" 0 0 0 0
"1989-03-01" 18.9 33.9 0 0
"1989-04-01" 46.7 69 45 0
"1989-05-01" 89.6 116.1 45 30
"1989-06-01" 134.6 168.8 180 135
"1989-07-01" 167.1 208.1 150 120
"1989-08-01" 136.6 167.5 90 90
"1989-09-01" 90.2 0 15 0
"1989-09-30" 0 0 0 0
"1990-03-01" 28.1 50 0 0
"1990-04-01" 51.4 73.2 75 0
"1990-05-01" 115.8 144.6 60 30
"1990-06-01" 58.8 85.8 120 90
"1990-07-01" 172.4 213.4 165 135
"1990-08-01" 170.5 209.3 105 90
"1990-09-01" 120 0 60 60
"1990-09-30" 0 0 0 0
"1991-03-01" 5 13.1 0 0
"1991-04-01" 52.6 67.8 75 0
"1991-05-01" 96.1 121.9 45 60
"1991-06-01" 159.1 197.1 135 45
"1991-07-01" 179.8 221.2 165 135
"1991-08-01" 164.2 203.2 120 105
"1991-09-01" 145 0 60 60
"1991-09-30" 0 0 0 0
"1992-03-01" 19.2 33.4 0 0
"1992-04-01" 59.6 82.1 60 0
"1992-05-01" 94.9 124.5 0 29.31
"1992-06-01" 21.5 35.7 30 0
"1992-07-01" 122.7 158.8 150 105
"1992-08-01" 155.8 193.6 105 105
