"year" "month" "day" "f9013" "f9047" "f9013i" "f9047i" "hyear" "suma_q" "suma_vol" "accu_vol"
1984 10 1 17.05 0.96 17.05 0.96 1985 18.01 1.556064 1.556064
1984 10 2 21.68 0.87 21.68 0.87 1985 22.55 1.94832 3.504384
1984 10 3 22.35 0.96 22.35 0.96 1985 23.31 2.013984 5.518368
1984 10 4 23.02 1.76 23.02 1.76 1985 24.78 2.140992 7.65936
1984 10 5 28.42 2.97 28.42 2.97 1985 31.39 2.712096 10.371456
1984 10 6 24.36 1.5 24.36 1.5 1985 25.86 2.234304 12.60576
1984 10 7 13.8 1.23 13.8 1.23 1985 15.03 1.298592 13.904352
1984 10 8 10.55 1.32 10.55 1.32 1985 11.87 1.025568 14.92992
1984 10 9 15.1 0.96 15.1 0.96 1985 16.06 1.387584 16.317504
1984 10 10 14.45 0.96 14.45 0.96 1985 15.41 1.331424 17.648928
1984 10 11 17.05 0.96 17.05 0.96 1985 18.01 1.556064 19.204992
1984 10 12 20.34 0.96 20.34 0.96 1985 21.3 1.84032 21.045312
1984 10 13 14.45 0.96 14.45 0.96 1985 15.41 1.331424 22.376736
1984 10 14 6.65 0.96 6.65 0.96 1985 7.61 0.657504 23.03424
1984 10 15 8.6 0.87 8.6 0.87 1985 9.47 0.818208 23.852448
1984 10 16 20.34 0.87 20.34 0.87 1985 21.21 1.832544 25.684992
1984 10 17 16.4 0.87 16.4 0.87 1985 17.27 1.492128 27.17712
1984 10 18 11.85 0.87 11.85 0.87 1985 12.72 1.099008 28.276128
1984 10 19 13.8 0.87 13.8 0.87 1985 14.67 1.267488 29.543616
1984 10 20 13.8 0.96 13.8 0.96 1985 14.76 1.275264 30.81888
1984 10 21 6.65 0.87 6.65 0.87 1985 7.52 0.649728 31.468608
1984 10 22 2.46 0.87 2.46 0.87 1985 3.33 0.287712 31.75632
1984 10 23 12.5 0.78 12.5 0.78 1985 13.28 1.147392 32.903712
1984 10 24 13.8 0.78 13.8 0.78 1985 14.58 1.259712 34.163424
1984 10 25 15.1 0.78 15.1 0.78 1985 15.88 1.372032 35.535456
1984 10 26 25.03 0.78 25.03 0.78 1985 25.81 2.229984 37.76544
1984 10 27 20.34 0.87 20.34 0.87 1985 21.21 1.832544 39.597984
1984 10 28 13.8 0.87 13.8 0.87 1985 14.67 1.267488 40.865472
1984 10 29 5.38 0.78 5.38 0.78 1985 6.16 0.532224 41.397696
1984 10 30 17.7 0.78 17.7 0.78 1985 18.48 1.596672 42.994368
1984 10 31 14.45 0.78 14.45 0.78 1985 15.23 1.315872 44.31024
1984 11 1 15.75 0.78 15.75 0.78 1985 16.53 1.428192 45.738432
1984 11 2 6 0.78 6 0.78 1985 6.78 0.585792 46.324224
1984 11 3 21.68 0.87 21.68 0.87 1985 22.55 1.94832 48.272544
1984 11 4 13.8 0.87 13.8 0.87 1985 14.67 1.267488 49.540032
1984 11 5 21.68 2.8 21.68 2.8 1985 24.48 2.115072 51.655104
1984 11 6 29.78 5.675 29.78 5.675 1985 35.455 3.063312 54.718416
1984 11 7 24.36 2.67 24.36 2.67 1985 27.03 2.335392 57.053808
1984 11 8 63.395 7.777 63.395 7.777 1985 71.172 6.1492608 63.2030688
1984 11 9 139.73 27.8 139.73 27.8 1985 167.53 14.474592 77.6776608
1984 11 10 112.52 32.741 112.52 32.741 1985 145.261 12.5505504 90.2282112
1984 11 11 65.265 15.36 65.265 15.36 1985 80.625 6.966 97.1942112
1984 11 12 47.5 9.94 47.5 9.94 1985 57.44 4.962816 102.1570272
1984 11 13 41.26 7.777 41.26 7.777 1985 49.037 4.2367968 106.393824
1984 11 14 41.26 10.692 41.26 10.692 1985 51.952 4.4886528 110.8824768
1984 11 15 38.98 12.196 38.98 12.196 1985 51.176 4.4216064 115.3040832
1984 11 16 45.94 17.02 45.94 17.02 1985 62.96 5.439744 120.7438272
