%% --------- Crop rotation time-series for AquaCropOS --------- %%
%% PlantDate	HarvestDate	Crop %%
25/05/2000	15/10/2000	Maize
25/05/2001	15/10/2001	Maize
25/05/2002	15/10/2002	Maize
25/05/2003	15/10/2003	Maize
25/05/2004	15/10/2004	Maize
25/05/2005	15/10/2005	Maize
25/05/2006	15/10/2006	Maize
25/05/2007	15/10/2007	Maize
25/05/2008	15/10/2008	Maize
25/05/2009	15/10/2009	Maize
25/05/2010	15/10/2010	Maize
25/05/2011	15/10/2011	Maize
25/05/2012	15/10/2012	Maize
25/05/2013	15/10/2013	Maize
25/05/2014	15/10/2015	Maize
